Carol Smitsdorff,Wed Sep,RT politico Manafort s plea deal says that if his convictions are wiped out for any reason for example a pardon from Trump prosecutor,0.0,0.0
Beth Shepard,Wed Sep,RT BoycottUtah It is Tuesday September One citizen I humbly call for the resignation of Donald J Trump as President of the Un,-0.2,0.4
Y RT shown as Twts,Wed Sep,RT jeneps One of the wettest we ve ever seen from the standpoint of water is how Trump describes Hurricane Florence in a pre taped vide,0.0,0.0
Eoin Smith,Wed Sep,RT samkalidi When The Apprentice tapes of Donald Trump using the N word finally get released half his supporters will scream But her em,-0.08333333333333333,0.5833333333333334
Troy Dirks,Wed Sep,RT Unpersuaded Please RT Maria Salazar MaElviraSalazar is the republican running for Miami s Th district against DonnaShalal,0.0,0.0
MJB,Wed Sep,RT AMPRo RealCandaceO If you ve seen one awards show you ve seen them all It s a bunch of self aggrandizing liberals in fancy dr,0.0,0.0
SIMON B,Wed Sep,RT ezralevant I ll PayPal to the first person who adds up for me the number of cbcnews tweets about this absurd recovered memory clai,-0.125,0.6666666666666666
JJ,Wed Sep,realDonaldTrump I m automatically attracted to beautiful I just start kissing them It s like a magnet Just kiss https t co qDbJvCHZ w,0.85,1.0
Caroline Howard,Wed Sep,RT SenWarren We can keep our country safe AND uphold our values by helping those fleeing violence and persecution realDonaldTrump s dec,0.5,0.5
John Deschenes,Wed Sep,RT BAMAPERRY Congressional Sources Fear Intel Agencies Will Slow Roll Release of Carter Page FISA Docs to Frustrate Trump https t co j,-0.30000000000000004,0.39999999999999997
Ruta mariam,Wed Sep,RT MaddowBlog Clinton It s clear Trump is playing checkers and Putin is playing three dimensional chess https t co ooI K SFdw,0.10000000000000002,0.3833333333333333
dingl,Wed Sep,RT MarkDice CNN is now reporting on Trump s distinctive penis not a parody https t co j xcZWOzFE,0.0,0.0
Jay Han,Wed Sep,RT GreggJarrett If Rod Rosenstein defies Trump s order to declassify documents he should be fired https t co q wlw s Zo,0.0,0.0
Theresa eden,Wed Sep,RT NJ Optimist President Trump Needs Our Support Primaries are over Time to UNITE behind the Republican Candidate Voting for rd Party,-0.4,0.7
Dean Miller,Wed Sep,RT kilmeade David Bossie on Trump s economy The American people elected a president who is a businessman He understands what busines,0.0,0.0
alyce erdekian,Wed Sep,RT StephenKing In Richard Red Tide Rick Scott cut million from the Florida Water Management District Now the Gulf Coast is,0.0,0.0
Kim,Wed Sep,I think we ll see a mental breakdown like we ve never seen before,-0.1,0.2
david percy,Wed Sep,RT gspatton Politicians are the LOWEST Life Form Democrats are LOWEST form of POLITICIAN By George S Patton Updated addition,0.0,0.0
Zarry Votes,Wed Sep,RT StephenKing In Richard Red Tide Rick Scott cut million from the Florida Water Management District Now the Gulf Coast is,0.0,0.0
John DeVries,Wed Sep,America is being pulled down despite Trump s efforts by a corrupt globalist media and politicians who lie cheat https t co aI OLenHR,-0.3277777777777778,0.6444444444444445
Lisa OKC,Wed Sep,RT TheRickWilson This is delicious The arsonist covered in soot reeking of kerosene and singed hair comes staggering out of the buildi,1.0,1.0
victor mattoon,Wed Sep,RT TheDemCoalition Prices will jump on everything from baby furniture to canned tuna when the latest round of asinine Trump induced tarif,0.15,0.65
Risk Training Co,Wed Sep,Trump visitar las Carolinas este mi rcoles https t co BWTPB rQs,0.0,0.0
Allysa Mentor,Wed Sep,He put his hand over a woman s mouth to shut her up terrifying and chilling I ll bet Trump never did that https t co C F iDcDcO,-0.75,0.95
Linda Marie,Wed Sep,RT ToscaAusten MeToo HIllary is back and teamed with WeDemandJustice PAC to stop Kavanaugh Just in time to save voters from all thin,-0.2,0.42500000000000004
Caroline,Wed Sep,RT OhNoSheTwitnt Kavanaugh I can t remember if I talked to anyone at Trump s lawyer s firm about a current investigation Also Kavanau,-0.1,0.4
Jomc,Wed Sep,No no he didnt say that come on even trumpass wouldn t say THAT Really Well maybe he wd realDonaldTrump donny https t co RaT IgSQDE,0.2,0.2
William Hanna,Wed Sep,RT realDonaldTrump The recovery got started on Election Day It took Trump s Tax Cuts and Regulation Cuts to get the economy boomin,0.0,0.0
Bonnie be me,Wed Sep,RT realDonaldTrump The recovery got started on Election Day It took Trump s Tax Cuts and Regulation Cuts to get the economy boomin,0.0,0.0
Elaine Alimonti,Wed Sep,RT davidfrum In other news big new escalation of US trade war upon the rest of the planet more abuse of the declassification process f,0.1278409090909091,0.3573863636363636
Janet Holveck,Wed Sep,RT BestPrezEver I thank God every day that you lost amp realDonaldTrump is our Prez You really need to get over it toots PS Trump,0.2,0.2
,Wed Sep,Greatest of all timelines,1.0,1.0
Kristine,Wed Sep,RT kylegriffin Bloomberg reports according to a person familiar that the FBI did not tell Trump or the W H that it doesn t want to,0.375,0.5
Nadia,Wed Sep,Wtf Lies The recovery started with BarackObama realDonaldTrump you re not tweeting these lies from the POTUS https t co K UXsr x o,-0.5,1.0
Libby Dawson,Wed Sep,steph EdKrassen realDonaldTrump FoxNews Both Trump and Kim are pathological liars I ll believe it when I https t co qUZNo x xQ,0.0,0.0
Carly Sewell,Wed Sep,Hey North Carolinian Trump supporters if you were affected by Hurricane Florence and if your town still is keep th https t co V QVHDPARB,0.0,0.0
Melonie Menasco,Wed Sep,RT realDonaldTrump The recovery got started on Election Day It took Trump s Tax Cuts and Regulation Cuts to get the economy boomin,0.0,0.0
Cruella Deville,Wed Sep,RT mmpadellan This one s gonna REALLY set off trumplethinskin Hillary Clinton I don t know whether trump is a witting or unwitting,0.2,0.2
Jack Posobiec,Wed Sep,RT jerome riviere Les d mocrates comptaient sur StormyDaniels pour attaquer Trump ils vont devoir expliquer en quoi la taille du sexe,0.0,0.0
mike,Wed Sep,Daughter Of CIA Assassin Paymaster Tries To Bring Down Trump Supreme Court Nominee Kavanaugh https t co fCWtpwUli via Shareaholic,-0.1277777777777778,0.34444444444444444
