Tweet,Sentiment
"What the media won't show anyone... #Deplorables praying before a Trump rally
@realDonaldTrump https://t.co/BEQsxcydL9",neutral
"@Slate President Trump`s haters have really stooped to the lowest level this time,havent they?",negative
"Can Dems Flip #Ohio in 2018 By Going Old School? - POLITICO

These are the people I grew up with. Trump lied to the https://t.co/F57l0LS5lG",neutral
"Thread by @JohnWHuber: ""The FBI withheld the fact McCabe spent 70 grand on a table so On a more serious note: if th https://t.co/mpyni09fbB",neutral
"In today's world , coming out of the closet is thankfully no longer a stigma but supporting Trump a bit of is . (No https://t.co/exI3h9DT0X",negative
'Off the charts': National-security experts sound the alarm after Trump moves to selectively declassify the Carter https://t.co/ITHfrA0ywl,neutral
"@jackblack @omid9 Deserved funny man. 

To think Trump has one. Pffft",positive
"I liked a @YouTube video https://t.co/z1n3qKHFjo #252 DNC TRUMP/RUSSIA DOSSIER BACKFIRES BIGLY! Lauren Southern, Phil Robertson &amp;",neutral
"@TriggrhappyMatt @DonaldJTrumpJr @realDonaldTrump Trump is a con, and you are easily conned..... https://t.co/b9Zvy6y1mI",neutral
On New Years Day 1986 I sent a mailogram to President Reagan begging for his help in a terrible family situation t https://t.co/hn8bKk5pGJ,negative
@safeagain1 @johncusack Ive learned a lot from reading Hedges but he trashed Sanders throughout the primaries and https://t.co/gk605mscw6,neutral
"Think Chris Matthews can feel the chill go up his leg?  

Conservatives are going to smoke the Decadent Democrats: https://t.co/KIxKDG3JdP",neutral
"@officialmcafee 

Im gonna email u details also, but please take a look at Pablo Escobars @diet_bitcoin &amp; tell me https://t.co/OHnhXk9TJt",neutral
@TaraHerzig Melania must be lovin this...and by lovin I mean hating the fact that all the money and prestige in the https://t.co/QgGEln9tiI,negative
"@YallneedJesus77 @GemmaMarbella2 @WCoastCndn @Kris_Sacrebleu @TomArnold @RealRomaDowney @MarkBurnettTV ""All the lyi https://t.co/yvz0YmKwwn",neutral
"@MarcBodnick @matthewjdowd @DavidAFrench Do you believe Juanita Broadrick and Karen Monohan? Trump is a dog, but th https://t.co/vEpoYETRFX",neutral
"@realDonaldTrump YOUR THE BEST PRESIDENT EVER MR PRESIDENT TRUMP  !!!VOTER ID FOR EVERYONE QUICKLY!!BEFORE WALL IS FINISHED  ,QUICKLEY",positive
"Been reading Stone's Rules...politics is war, if you are not aware of that yet.

https://t.co/Y9j7AGvXgO",neutral
Got to feel for Melania Trump in this whole Stormy sex scandal thing. Youve got some porn star publicly saying you https://t.co/KTOevY5mLM,negative
"@klingensmith_j @e391615r @schnell_wendy @KamalaHarris Trump set up Concentration Camps?

Shame on you. You just de https://t.co/zsLuikvsDl",neutral
@CNN The same would go for her . Looking at her past  she would have been worse than trump.  Trump is the lesser of two evils,negative
Why Trump Wont Forcefully Defend Kavanaugh. https://t.co/8CmyFkCwys,neutral
@realleftjesus Wait is there pics of Trump's genitals out there now? ,neutral
"@JoyGrenade @NintendoAmerica Same here, Same here. lol.

Trump kills everything.",negative
"This #job might be a great fit for you: Cook II AM Shift (On Call) - https://t.co/rSinj6FlVV #Hospitality #LasVegas, NV #Hiring",positive
I'm also sure that Americans would weigh and choose the lesser of two evils like they decided to do when electing POTUS Trump so...,negative
@fuzymunky34 @kielkowicz_k @WhiteHouse @POTUS @WhiteHouse @POTUS @realDonaldTrump @The_Trump_Train @DiamondandSilk https://t.co/8dRy9csW5g,neutral
".@BethMooreLPM believes that an evangelical culture that demeans women, promotes sexism, and disregards accusations https://t.co/4bTwk1PEEu",neutral
@RealJamesWoods The word is evil. Just took the time of Trump to fully expose the fossil to sunlight.,negative
"""One of the most disconcerting parts of observing Hungarian soft fascism up close is that its easy to imagine the https://t.co/NdnSD6X7CP",neutral
